Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sat, 07 Nov 2020 14:08:32 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1950-0031-PHL,1950,0031,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1950,9,,1950,9,,84,,,,,,,,9.4319369393968
1951-0022-PHL,1951,0022,Natural,Geophysical,Volcanic activity,Ash fall,,Hibok-Hibok,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Mt Catarman, Mindanao",,,,,,,,,,,,,,1951,12,4,1951,12,4,500,,,,,,,,10.1755336275649
1951-0011-PHL,1951,0011,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, South Luzon",,,,,,,,,Kph,,,,,1951,4,24,1951,4,24,156,,,,,,,,10.1755336275649
1951-0021-PHL,1951,0021,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Bicol",,,,,,,,,Kph,,,,,1951,11,15,1951,11,15,87,,,,,,,,10.1755336275649
1951-0024-PHL,1951,0024,Natural,Meteorological,Storm,Tropical cyclone,,Amy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1951,12,9,1951,12,9,569,,60000,,60000,,,,10.1755336275649
1952-0003-PHL,1952,0003,Natural,Meteorological,Storm,Tropical cyclone,,Emma,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1952,6,28,1952,6,28,19,103,,,103,,,,10.4103536343549
1952-0008-PHL,1952,0008,Natural,Meteorological,Storm,Tropical cyclone,,"Trixy, Wilma",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1952,10,16,1952,10,16,995,349,,,349,,,50000,10.4103536343549
1954-0031-PHL,1954,0031,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon, Sorsogon, Bacon, Legaspi",,,,,,,,7,Richter,13,123.9,10:45,,1954,7,2,1954,7,2,13,101,,,101,,,,10.5277636377498
1954-0016-PHL,1954,0016,Technological,Technological,Transport accident,Rail,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Negros Island,,,,,,,,,,,,,,1954,9,2,1954,9,2,55,,,,,,,,10.5277636377498
1955-0002-PHL,1955,0002,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Mindanao, Lanao, Ozamis city",,,,,,,,6,Richter,7.674,124.081,05:52,,1955,4,1,1955,4,1,400,2000,,,2000,,,5000,10.473000409773
1955-0034-PHL,1955,0034,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,1,,1955,1,,51,,,,,,,,10.473000409773
1955-0048-PHL,1955,0048,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,11,,1955,11,,93,,,,,,,,10.473000409773
1956-0052-PHL,1956,0052,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,12,,1956,12,,79,,,,,,,,10.6327191682906
1956-0036-PHL,1956,0036,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,7,,1956,7,,50,,,,,,,,10.6327191682906
